stops_name,location
Jln. Belimbing Terusan,NJ
Jln. Bendi Baru,SJ
Jln. Bendungan Jatiluhur IV,CJ
Jln. Bendungan Melayu,NJ
Jln. Berlian II Pondok Labu,SJ
Jln. Bima Kemanggisan,WJ
Jln. Bina Harapan,SJ
Jln. Bisma Raya 1,NJ
Jln. Bisma Raya 2,NJ
Jln. Bojong Raya,WJ
Jln. Bougenvil Indah,B
Jln. Buah Cijantung,EJ
Jln. Buaran III,EJ
Jln. Budi Mulia Utara,NJ
Jln. Budi Murni Raya Cilangkap,EJ
Jln. Bujana Tirta Raya 2,EJ
Jln. Bulak Barat V Klender,EJ
Jln. Bumi Pratama III,EJ
Jln. Bunga Cempaka II Cipete,SJ
Jln. Bungur,SJ
Jln. Bungur Akses Term. 2,EJ
Jln. Bungur Besar VI,CJ
Jln. Bungur II Rambutan,EJ
Jln. Bungur IV Rambutan,EJ
Jln. Bungur VIII Rambutan,EJ
Jln. Busika Raya Ciracas,EJ
Jln. Cakrawala,EJ
Jln. Cakrawijaya II,EJ
Jln. Cek Do Abdul Rahman,EJ
Jln. Cempaka Putih Tengah XVI,CJ
Jln. Cempaka Putih Tengah XXVII,CJ
Jln. Cempedak Pesanggrahan,SJ
Jln. Cibubur I,EJ
Jln. Cideng Timur I,CJ
Jln. Cilandak V,SJ
Jln. Cilincing Baru Raya,NJ
Jln. Cilincing Raya 1,NJ
Jln. Cinere Raya,D
Jln. Cinere Raya 2,D
Jln. Cipinang Bali III,EJ
Jln. Cipinang Jaya Raya,EJ
Jln. Cipinang Muara III,EJ
Jln. Cipinang Tengah,EJ
Jln. Cipinang Timur Persahabatan,EJ
Jln. Cipulir 1,SJ
Jln. Ciujung Cideng Barat,CJ
Jln. Cupang,SJ
Jln. Dadap,NJ
Jln. Dahlia 10,EJ
Jln. Dahlia KDW,EJ
Jln. Damai PBSI Cilangkap,EJ
Jln. Danau Agung 2,NJ
Jln. Danau Indah Timur,NJ
Jln. Danau Sunter Barat 1,NJ
Jln. Danau Sunter Barat 2,NJ
Jln. Daud I Sukabumi Utara,WJ
Jln. Delima Raya,WJ
Jln. Delima Raya 2,EJ
Jln. Dermaga Raya,EJ
Jln. Dewa Ruci,NJ
Jln. Dewi Sinta,NJ
Jln. Duku Raya,SJ
Jln. Dukuh II,EJ
Jln. Dul Djaim Cipedak,SJ
Jln. Duren Sawit Dermaga,EJ
Jln. Duri Tol,WJ
Jln. Duri Tss Raya,WJ
Jln. EE Sukabumi Selatan,WJ
Jln. Elpa Putih II,NJ
Jln. Flamboyan Berdikari,NJ
Jln. Gabus Raya,SJ
Jln. Gading Ayu I,NJ
Jln. Gading Batavia,NJ
Jln. Gading Mas Barat IV,NJ
Jln. Gading Putih Raya,NJ
Jln. Gading Raya,NJ
Jln. Gading Sengon Raya,NJ
Jln. Gading Sengon Raya 2,NJ
Jln. Galur Sari Barat 2,EJ
Jln. Galur Sari X 2,EJ
Jln. Gambas Kodam Bintaro,SJ
Jln. Gempol Raya,EJ
Jln. Giri Kencana Raya Cilangkap,EJ
Jln. Gorda,EJ
Jln. Gorontalo II,NJ
Jln. Gotong Royong Cipinang Muara,EJ
Jln. Grafika,SJ
Jln. Gunung Galunggung 1,WJ
Jln. Guru Saleh,SJ
Jln. H Briti B,WJ
Jln. H Emuntipala I,EJ
Jln. H Mahid,EJ
Jln. H. Abdullah,WJ
Jln. H. Ahmad,SJ
Jln. H. Ali Solihin Cibubur,EJ
Jln. H. Aman,EJ
Jln. H. Gari,SJ
Jln. H. Hamid Semanan,WJ
Jln. H. Jimin Petukangan,SJ
Jln. H. Jusin Susukan,EJ
Jln. H. Kincan Rawa Buaya,WJ
Jln. H. Komeng Duri Kosambi,WJ
Jln. H. Mawar Sunter,NJ
Jln. H. Muslim,SJ
Jln. H. Nasir Srengseng,WJ
Jln. H. Oyar,NJ
Jln. H. Raijin,EJ
Jln. H. Rohimin Swadarma,SJ
Jln. H. Saidi,SJ
Jln. H. Selong Duri Kosambi,WJ
Jln. H. Sholeh I,WJ
Jln. H. Tamin S,NJ
Jln. H. Terin Pangkalan Jati,D
Jln. H. Yahya,EJ
Jln. H. Zakaria,SJ
Jln. Hadiah Utama II,WJ
Jln. Harun II Sukabumi Utara,WJ
Jln. Hidup Baru,NJ
Jln. I Gusti Ngurah Rai 1,EJ
Jln. I Gusti Ngurah Rai 2,EJ
Jln. IKPN Bintaro,SJ
Jln. Ikan Hias Batu Ampar,EJ
Jln. Indraloka Gg. VIII,WJ
Jln. Industri 1,T
Jln. Industri 2,T
Jln. Industri I,CJ
Jln. Industri III,CJ
Jln. Industri Tj. Priok,NJ
Jln. Inspeksi Kali Pesanggrahan Barat,WJ
Jln. Inspeksi Kalimalang Lampiri,EJ
Jln. Inspeksi Pam,EJ
Jln. Irigasi THB,B
Jln. Janur Indah XI,NJ
Jln. Jatinegara Timur II,EJ
Jln. Jatinegara Timur III,EJ
Jln. Jatinegara Timur IV,EJ
Jln. Jatipadang Poncol,SJ
Jln. Jelambar Barat IIIB,WJ
Jln. Jelambar Utama Sakti VIII,WJ
Jln. Jembatan I Balekambang,EJ
Jln. Jeruk Garut,WJ
Jln. Jeruk Manis,WJ
Jln. Jiban I Grogol Selatan,SJ
Jln. Johar Baru 1,CJ
Jln. KH A Wahab I,WJ
Jln. KH Djunaidi Palmerah,WJ
Jln. KH Hasim,WJ
Jln. KRI Harimau,SJ
Jln. KS Tubun II,WJ
Jln. Kaimun Jaya,SJ
Jln. Kaja II KDW,EJ
Jln. Kaliabang Rorotan,NJ
Jln. Kampung Baru,WJ
Jln. Kampung Baru V Swadarma,SJ
Jln. Kampung Batu Tumbuh,NJ
Jln. Kampung Utan Cilandak KKO,SJ
Jln. Kapuas Cideng Barat,CJ
Jln. Kapuk 2,EJ
Jln. Karang Tengah Raya,SJ
Jln. Karet Pasar Baru Barat I,CJ
Jln. Karet Pasar Baru Barat IV,CJ
Jln. Karet Pasar Baru Barat VII,CJ
Jln. Karet Pasar Baru Timur 5,CJ
Jln. Karet Pasar Baru Timur II,CJ
Jln. Kartika Meruya Selatan,WJ
Jln. Karya Utama,WJ
